reg_seq,latitude,longitude,altitude,velocity,direction,position_fix,satelites,equ_no,dev_id,evnt_dt,cre_dt,cntr_dup,wk_id,y_blk,y_bay,y_row,y_tier,long_cut,latt_cut
19,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:08:50Z,2021-11-01T05:22:09Z,"","","",,,,364,431
253,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:08:51Z,2021-11-01T05:22:10Z,"","","",,,,364,431
566,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:08:52Z,2021-11-01T05:22:12Z,"","","",,,,364,431
720,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:08:53Z,2021-11-01T05:22:13Z,"","","",,,,364,431
986,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:08:54Z,2021-11-01T05:22:15Z,"","","",,,,364,431
1173,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:08:55Z,2021-11-01T05:22:16Z,"","","",,,,364,431
1511,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:08:56Z,2021-11-01T05:22:18Z,"","","",,,,364,431
1645,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:08:57Z,2021-11-01T05:22:19Z,"","","",,,,364,431
1946,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:08:58Z,2021-11-01T05:22:21Z,"","","",,,,364,431
2152,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:08:59Z,2021-11-01T05:22:22Z,"","","",,,,364,431
2372,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:00Z,2021-11-01T05:22:23Z,"","","",,,,364,431
2639,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:01Z,2021-11-01T05:22:24Z,"","","",,,,364,431
2811,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:02Z,2021-11-01T05:22:25Z,"","","",,,,364,431
3134,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:03Z,2021-11-01T05:22:27Z,"","","",,,,364,431
3351,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:04Z,2021-11-01T05:22:28Z,"","","",,,,364,431
3543,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:05Z,2021-11-01T05:22:29Z,"","","",,,,364,431
3800,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:06Z,2021-11-01T05:22:31Z,"","","",,,,364,431
4069,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:07Z,2021-11-01T05:22:32Z,"","","",,,,364,431
4285,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:08Z,2021-11-01T05:22:33Z,"","","",,,,364,431
4598,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:09Z,2021-11-01T05:22:53Z,"","","",,,,364,431
4766,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:10Z,2021-11-01T05:22:54Z,"","","",,,,364,431
5037,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:11Z,2021-11-01T05:22:55Z,"","","",,,,364,431
5214,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:12Z,2021-11-01T05:22:56Z,"","","",,,,364,431
5555,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:13Z,2021-11-01T05:22:58Z,"","","",,,,364,431
5679,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:14Z,2021-11-01T05:22:59Z,"","","",,,,364,431
5963,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:15Z,2021-11-01T05:23:01Z,"","","",,,,364,431
6245,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:16Z,2021-11-01T05:23:02Z,"","","",,,,364,431
6463,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:17Z,2021-11-01T05:23:03Z,"","","",,,,364,431
6729,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:18Z,2021-11-01T05:23:05Z,"","","",,,,364,431
6919,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:19Z,2021-11-01T05:23:06Z,"","","",,,,364,431
7170,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:20Z,2021-11-01T05:23:07Z,"","","",,,,364,431
7460,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:21Z,2021-11-01T05:23:08Z,"","","",,,,364,431
7652,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:22Z,2021-11-01T05:23:09Z,"","","",,,,364,431
7887,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:23Z,2021-11-01T05:23:10Z,"","","",,,,364,431
8154,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:24Z,2021-11-01T05:23:12Z,"","","",,,,364,431
8392,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:25Z,2021-11-01T05:23:14Z,"","","",,,,364,431
8596,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:26Z,2021-11-01T05:23:15Z,"","","",,,,364,431
8825,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:27Z,2021-11-01T05:23:16Z,"","","",,,,364,431
9115,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:28Z,2021-11-01T05:23:18Z,"","","",,,,364,431
9356,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:29Z,2021-11-01T05:23:19Z,"","","",,,,364,431
9609,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:30Z,2021-11-01T05:23:20Z,"","","",,,,364,431
9818,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:31Z,2021-11-01T05:23:22Z,"","","",,,,364,431
10112,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:32Z,2021-11-01T05:23:23Z,"","","",,,,364,431
10304,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:33Z,2021-11-01T05:23:24Z,"","","",,,,364,431
10552,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:34Z,2021-11-01T05:23:25Z,"","","",,,,364,431
10834,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:35Z,2021-11-01T05:23:27Z,"","","",,,,364,431
11016,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:36Z,2021-11-01T05:23:28Z,"","","",,,,364,431
11270,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:37Z,2021-11-01T05:23:29Z,"","","",,,,364,431
11533,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:38Z,2021-11-01T05:23:30Z,"","","",,,,364,431
11751,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:39Z,2021-11-01T05:23:32Z,"","","",,,,364,431
12001,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:40Z,2021-11-01T05:23:33Z,"","","",,,,364,431
12189,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:41Z,2021-11-01T05:23:34Z,"","","",,,,364,431
12522,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:42Z,2021-11-01T05:23:36Z,"","","",,,,364,431
12737,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:43Z,2021-11-01T05:23:37Z,"","","",,,,364,431
12932,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:44Z,2021-11-01T05:23:38Z,"","","",,,,364,431
13201,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:45Z,2021-11-01T05:23:39Z,"","","",,,,364,431
13438,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:46Z,2021-11-01T05:23:40Z,"","","",,,,364,431
13688,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:47Z,2021-11-01T05:23:41Z,"","","",,,,364,431
13904,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:48Z,2021-11-01T05:23:42Z,"","","",,,,364,431
14159,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:49Z,2021-11-01T05:23:44Z,"","","",,,,364,431
14424,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:50Z,2021-11-01T05:23:45Z,"","","",,,,364,431
14675,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:51Z,2021-11-01T05:23:47Z,"","","",,,,364,431
14939,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:52Z,2021-11-01T05:23:49Z,"","","",,,,364,431
15132,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:53Z,2021-11-01T05:23:50Z,"","","",,,,364,431
15395,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:54Z,2021-11-01T05:23:51Z,"","","",,,,364,431
15584,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:55Z,2021-11-01T05:23:53Z,"","","",,,,364,431
15847,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:56Z,2021-11-01T05:23:54Z,"","","",,,,364,431
16095,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:57Z,2021-11-01T05:23:55Z,"","","",,,,364,431
16326,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:58Z,2021-11-01T05:23:56Z,"","","",,,,364,431
16711,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:09:59Z,2021-11-01T05:23:59Z,"","","",,,,364,431
16788,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:10:00Z,2021-11-01T05:23:59Z,"","","",,,,364,431
17057,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:10:01Z,2021-11-01T05:24:00Z,"","","",,,,364,431
17328,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:10:02Z,2021-11-01T05:24:02Z,"","","",,,,364,431
17531,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:10:03Z,2021-11-01T05:24:03Z,"","","",,,,364,431
17771,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:10:04Z,2021-11-01T05:24:04Z,"","","",,,,364,431
18020,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:10:05Z,2021-11-01T05:24:05Z,"","","",,,,364,431
18257,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:10:06Z,2021-11-01T05:24:06Z,"","","",,,,364,431
18602,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:10:07Z,2021-11-01T05:24:08Z,"","","",,,,364,431
18751,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:10:08Z,2021-11-01T05:24:09Z,"","","",,,,364,431
18990,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:10:09Z,2021-11-01T05:24:10Z,"","","",,,,364,431
19200,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:10:10Z,2021-11-01T05:24:11Z,"","","",,,,364,431
19503,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:10:11Z,2021-11-01T05:24:13Z,"","","",,,,364,431
19638,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:10:12Z,2021-11-01T05:24:13Z,"","","",,,,364,431
19911,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:10:13Z,2021-11-01T05:24:15Z,"","","",,,,364,431
20213,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:10:14Z,2021-11-01T05:24:17Z,"","","",,,,364,431
20425,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:10:15Z,2021-11-01T05:24:18Z,"","","",,,,364,431
20629,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:10:16Z,2021-11-01T05:24:19Z,"","","",,,,364,431
20938,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:10:17Z,2021-11-01T05:24:21Z,"","","",,,,364,431
21151,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:10:18Z,2021-11-01T05:24:22Z,"","","",,,,364,431
21371,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:10:19Z,2021-11-01T05:24:24Z,"","","",,,,364,431
21636,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:10:20Z,2021-11-01T05:24:25Z,"","","",,,,364,431
21839,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:10:21Z,2021-11-01T05:24:26Z,"","","",,,,364,431
22125,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:10:22Z,2021-11-01T05:24:28Z,"","","",,,,364,431
22362,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:10:23Z,2021-11-01T05:24:29Z,"","","",,,,364,431
22611,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:10:24Z,2021-11-01T05:24:30Z,"","","",,,,364,431
22793,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:10:25Z,2021-11-01T05:24:31Z,"","","",,,,364,431
23040,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:10:26Z,2021-11-01T05:24:32Z,"","","",,,,364,431
23339,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:10:27Z,2021-11-01T05:24:34Z,"","","",,,,364,431
23512,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:10:28Z,2021-11-01T05:24:35Z,"","","",,,,364,431
23793,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:10:29Z,2021-11-01T05:24:36Z,"","","",,,,364,431
24037,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:10:30Z,2021-11-01T05:24:37Z,"","","",,,,364,431
24294,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:10:31Z,2021-11-01T05:24:38Z,"","","",,,,364,431
24583,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:10:32Z,2021-11-01T05:24:40Z,"","","",,,,364,431
24769,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:10:33Z,2021-11-01T05:24:41Z,"","","",,,,364,431
25003,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:10:34Z,2021-11-01T05:24:42Z,"","","",,,,364,431
25254,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:10:35Z,2021-11-01T05:24:44Z,"","","",,,,364,431
25489,35.1094398,129.0949707,11,0,0,4,12,YT324,S01228451405,2021-10-31T19:10:36Z,2021-11-01T05:24:45Z,"","","",,,,364,431
