reg_seq,latitude,longitude,altitude,velocity,direction,position_fix,satelites,equ_no,dev_id,evnt_dt,cre_dt,cntr_dup,wk_id,y_blk,y_bay,y_row,y_tier,long_cut,latt_cut
55,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:08:50Z,2021-11-01T05:22:09Z,"","","",,,,345,434
127,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:08:51Z,2021-11-01T05:22:10Z,"","","",,,,345,434
401,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:08:52Z,2021-11-01T05:22:11Z,"","","",,,,345,434
590,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:08:53Z,2021-11-01T05:22:12Z,"","","",,,,345,434
900,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:08:54Z,2021-11-01T05:22:14Z,"","","",,,,345,434
1115,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:08:55Z,2021-11-01T05:22:16Z,"","","",,,,345,434
1363,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:08:56Z,2021-11-01T05:22:17Z,"","","",,,,345,434
1551,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:08:57Z,2021-11-01T05:22:18Z,"","","",,,,345,434
1816,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:08:58Z,2021-11-01T05:22:20Z,"","","",,,,345,434
2085,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:08:59Z,2021-11-01T05:22:22Z,"","","",,,,345,434
2240,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:00Z,2021-11-01T05:22:22Z,"","","",,,,345,434
2497,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:01Z,2021-11-01T05:22:24Z,"","","",,,,345,434
2814,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:02Z,2021-11-01T05:22:26Z,"","","",,,,345,434
3004,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:03Z,2021-11-01T05:22:26Z,"","","",,,,345,434
3199,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:04Z,2021-11-01T05:22:27Z,"","","",,,,345,434
3501,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:05Z,2021-11-01T05:22:29Z,"","","",,,,345,434
3725,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:06Z,2021-11-01T05:22:30Z,"","","",,,,345,434
3979,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:07Z,2021-11-01T05:22:32Z,"","","",,,,345,434
4190,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:08Z,2021-11-01T05:22:32Z,"","","",,,,345,434
4443,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:09Z,2021-11-01T05:22:52Z,"","","",,,,345,434
4704,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:10Z,2021-11-01T05:22:53Z,"","","",,,,345,434
4920,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:11Z,2021-11-01T05:22:55Z,"","","",,,,345,434
5187,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:12Z,2021-11-01T05:22:56Z,"","","",,,,345,434
5403,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:13Z,2021-11-01T05:22:58Z,"","","",,,,345,434
5710,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:14Z,2021-11-01T05:22:59Z,"","","",,,,345,434
5890,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:15Z,2021-11-01T05:23:00Z,"","","",,,,345,434
6079,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:16Z,2021-11-01T05:23:01Z,"","","",,,,345,434
6362,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:17Z,2021-11-01T05:23:03Z,"","","",,,,345,434
6595,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:18Z,2021-11-01T05:23:04Z,"","","",,,,345,434
6857,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:19Z,2021-11-01T05:23:05Z,"","","",,,,345,434
7098,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:20Z,2021-11-01T05:23:06Z,"","","",,,,345,434
7357,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:21Z,2021-11-01T05:23:08Z,"","","",,,,345,434
7575,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:22Z,2021-11-01T05:23:09Z,"","","",,,,345,434
7812,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:23Z,2021-11-01T05:23:10Z,"","","",,,,345,434
8060,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:24Z,2021-11-01T05:23:11Z,"","","",,,,345,434
8307,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:25Z,2021-11-01T05:23:13Z,"","","",,,,345,434
8544,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:26Z,2021-11-01T05:23:14Z,"","","",,,,345,434
8737,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:27Z,2021-11-01T05:23:16Z,"","","",,,,345,434
9012,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:28Z,2021-11-01T05:23:17Z,"","","",,,,345,434
9274,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:29Z,2021-11-01T05:23:19Z,"","","",,,,345,434
9505,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:30Z,2021-11-01T05:23:20Z,"","","",,,,345,434
9761,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:31Z,2021-11-01T05:23:21Z,"","","",,,,345,434
9998,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:32Z,2021-11-01T05:23:23Z,"","","",,,,345,434
10233,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:33Z,2021-11-01T05:23:24Z,"","","",,,,345,434
10476,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:34Z,2021-11-01T05:23:25Z,"","","",,,,345,434
10701,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:35Z,2021-11-01T05:23:26Z,"","","",,,,345,434
10959,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:36Z,2021-11-01T05:23:28Z,"","","",,,,345,434
11223,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:37Z,2021-11-01T05:23:29Z,"","","",,,,345,434
11396,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:38Z,2021-11-01T05:23:30Z,"","","",,,,345,434
11688,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:39Z,2021-11-01T05:23:31Z,"","","",,,,345,434
11863,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:40Z,2021-11-01T05:23:32Z,"","","",,,,345,434
12137,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:41Z,2021-11-01T05:23:34Z,"","","",,,,345,434
12412,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:42Z,2021-11-01T05:23:35Z,"","","",,,,345,434
12652,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:43Z,2021-11-01T05:23:36Z,"","","",,,,345,434
12897,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:44Z,2021-11-01T05:23:37Z,"","","",,,,345,434
13098,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:45Z,2021-11-01T05:23:38Z,"","","",,,,345,434
13299,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:46Z,2021-11-01T05:23:39Z,"","","",,,,345,434
13592,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:47Z,2021-11-01T05:23:41Z,"","","",,,,345,434
13795,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:48Z,2021-11-01T05:23:42Z,"","","",,,,345,434
14082,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:49Z,2021-11-01T05:23:43Z,"","","",,,,345,434
14332,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:50Z,2021-11-01T05:23:45Z,"","","",,,,345,434
14492,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:51Z,2021-11-01T05:23:46Z,"","","",,,,345,434
14820,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:52Z,2021-11-01T05:23:48Z,"","","",,,,345,434
15027,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:53Z,2021-11-01T05:23:49Z,"","","",,,,345,434
15250,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:54Z,2021-11-01T05:23:50Z,"","","",,,,345,434
15537,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:55Z,2021-11-01T05:23:52Z,"","","",,,,345,434
15765,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:56Z,2021-11-01T05:23:54Z,"","","",,,,345,434
16022,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:57Z,2021-11-01T05:23:55Z,"","","",,,,345,434
16228,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:58Z,2021-11-01T05:23:56Z,"","","",,,,345,434
16445,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:09:59Z,2021-11-01T05:23:57Z,"","","",,,,345,434
16770,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:10:00Z,2021-11-01T05:23:59Z,"","","",,,,345,434
16964,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:10:01Z,2021-11-01T05:24:00Z,"","","",,,,345,434
17224,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:10:02Z,2021-11-01T05:24:01Z,"","","",,,,345,434
17473,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:10:03Z,2021-11-01T05:24:02Z,"","","",,,,345,434
17644,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:10:04Z,2021-11-01T05:24:03Z,"","","",,,,345,434
17951,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:10:05Z,2021-11-01T05:24:05Z,"","","",,,,345,434
18126,35.1095695,129.0938873,11,0,0,4,12,YT392,S01228446592,2021-10-31T19:10:06Z,2021-11-01T05:24:06Z,"","","",,,,345,434
