reg_seq,latitude,longitude,altitude,velocity,direction,position_fix,satelites,equ_no,dev_id,evnt_dt,cre_dt,cntr_dup,wk_id,y_blk,y_bay,y_row,y_tier,long_cut,latt_cut
23,35.1103134,129.0944061,11,0,0,4,12,YT389,S01228451449,2021-10-31T19:08:50Z,2021-11-01T05:22:09Z,"","","",,,,354,451
179,35.1103134,129.0944061,11,0,0,4,12,YT389,S01228451449,2021-10-31T19:08:51Z,2021-11-01T05:22:10Z,"","","",,,,354,451
404,35.1103134,129.0944061,11,0,0,4,12,YT389,S01228451449,2021-10-31T19:08:52Z,2021-11-01T05:22:11Z,"","","",,,,354,451
649,35.1103134,129.0944061,11,0,0,4,12,YT389,S01228451449,2021-10-31T19:08:53Z,2021-11-01T05:22:13Z,"","","",,,,354,451
864,35.1103134,129.0944061,11,0,0,4,12,YT389,S01228451449,2021-10-31T19:08:54Z,2021-11-01T05:22:14Z,"","","",,,,354,451
1086,35.1103134,129.0944061,11,0,0,4,12,YT389,S01228451449,2021-10-31T19:08:55Z,2021-11-01T05:22:15Z,"","","",,,,354,451
1327,35.1103134,129.0944061,11,0,0,4,12,YT389,S01228451449,2021-10-31T19:08:56Z,2021-11-01T05:22:17Z,"","","",,,,354,451
1546,35.1103134,129.0944061,11,0,0,4,12,YT389,S01228451449,2021-10-31T19:08:57Z,2021-11-01T05:22:18Z,"","","",,,,354,451
1805,35.1103134,129.0944061,11,0,0,4,12,YT389,S01228451449,2021-10-31T19:08:58Z,2021-11-01T05:22:20Z,"","","",,,,354,451
2028,35.1103134,129.0944061,11,0,0,4,12,YT389,S01228451449,2021-10-31T19:08:59Z,2021-11-01T05:22:21Z,"","","",,,,354,451
2306,35.1103134,129.0944061,11,0,0,4,12,YT389,S01228451449,2021-10-31T19:09:00Z,2021-11-01T05:22:23Z,"","","",,,,354,451
2526,35.1103134,129.0944061,11,0,0,4,12,YT389,S01228451449,2021-10-31T19:09:01Z,2021-11-01T05:22:24Z,"","","",,,,354,451
2764,35.1103134,129.0944061,11,0,0,4,12,YT389,S01228451449,2021-10-31T19:09:02Z,2021-11-01T05:22:25Z,"","","",,,,354,451
2966,35.1103134,129.0944061,11,0,0,4,12,YT389,S01228451449,2021-10-31T19:09:03Z,2021-11-01T05:22:26Z,"","","",,,,354,451
3248,35.1103134,129.0944061,11,0,0,4,12,YT389,S01228451449,2021-10-31T19:09:04Z,2021-11-01T05:22:28Z,"","","",,,,354,451
3409,35.1103134,129.0944061,11,0,0,4,12,YT389,S01228451449,2021-10-31T19:09:05Z,2021-11-01T05:22:29Z,"","","",,,,354,451
3743,35.1103134,129.0944061,11,0,0,4,12,YT389,S01228451449,2021-10-31T19:09:06Z,2021-11-01T05:22:30Z,"","","",,,,354,451
3946,35.1103134,129.0944061,11,0,0,4,12,YT389,S01228451449,2021-10-31T19:09:07Z,2021-11-01T05:22:31Z,"","","",,,,354,451
4153,35.1103134,129.0944061,11,0,0,4,12,YT389,S01228451449,2021-10-31T19:09:08Z,2021-11-01T05:22:32Z,"","","",,,,354,451
4424,35.1103134,129.0944061,11,0,0,4,12,YT389,S01228451449,2021-10-31T19:09:09Z,2021-11-01T05:22:51Z,"","","",,,,354,451
4636,35.1103134,129.0944061,11,0,0,4,12,YT389,S01228451449,2021-10-31T19:09:10Z,2021-11-01T05:22:53Z,"","","",,,,354,451
4930,35.1103134,129.0944061,11,0,0,4,12,YT389,S01228451449,2021-10-31T19:09:11Z,2021-11-01T05:22:55Z,"","","",,,,354,451
5174,35.1103134,129.0944061,11,0,0,4,12,YT389,S01228451449,2021-10-31T19:09:12Z,2021-11-01T05:22:56Z,"","","",,,,354,451
5381,35.1103134,129.0944061,11,0,0,4,12,YT389,S01228451449,2021-10-31T19:09:13Z,2021-11-01T05:22:57Z,"","","",,,,354,451
5663,35.1103134,129.0944061,11,0,0,4,12,YT389,S01228451449,2021-10-31T19:09:14Z,2021-11-01T05:22:59Z,"","","",,,,354,451
5825,35.1103134,129.0944061,11,0,0,4,12,YT389,S01228451449,2021-10-31T19:09:15Z,2021-11-01T05:23:00Z,"","","",,,,354,451
